grain,series_id,item_code,label,sb_class,total_qty_hist,model,model_params,rmsse,mase,smape,n_trials,n_backtest_folds,acc_change_vs_prev,forecast_total_4w,p_occurrence_week,routine_weekly,routine_total_4w,bulk_share,w1_2026-06-15,w2_2026-06-22,w3_2026-06-29,w4_2026-07-06,customer,channel
sku_channel,sku_channel::1008353|TAIUN,1008353,교체형,lumpy,544792.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.006849398017823889,0.028712245703540973,2.0,10,6,,183.48690015595477,0.0007555786390585659,0.0,0.0,1.0,45.87172503898869,45.87172503898869,45.87172503898869,45.87172503898869,,TAIUN
sku_channel,sku_channel::1008981|TAIUN,1008981,교체형,lumpy,509566.0,tsb,"{'alpha': 0.2, 'beta': 0.05}",0.27605097426951153,1.1283327667353278,1.2238816598043671,10,6,,24135.694860474214,0.10981251137695866,0.0,0.0,1.0,6033.923715118553,6033.923715118553,6033.923715118553,6033.923715118553,,TAIUN
sku_channel,sku_channel::2018609|TAIUN,2018609,교체형,lumpy,487635.0,sba,{'alpha': 0.3},0.1299262080461284,0.4079112504823222,1.4330647688012335,10,6,,10514.358171328657,0.15105621277693768,0.0,0.0,1.0,2628.589542832164,2628.589542832164,2628.589542832164,2628.589542832164,,TAIUN
sku_channel,sku_channel::2019670|TAIUN,2019670,교체형,intermittent,487631.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",1.4856243813712322,4.269899487658562,0.6082236003920968,10,6,,70201.20959530672,0.6010506852680324,0.0,0.0,1.0,17550.30239882668,17550.30239882668,17550.30239882668,17550.30239882668,,TAIUN
sku_channel,sku_channel::1008414|TAIUN,1008414,교체형,lumpy,461230.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.00016362040448582042,0.0008820000567302633,2.0,10,6,,4.77192205226514,2.1270549225183695e-05,0.0,0.0,1.0,1.192980513066285,1.192980513066285,1.192980513066285,1.192980513066285,,TAIUN
sku_channel,sku_channel::1007584|TAIUN,1007584,교체형,intermittent,456009.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.00014484546417836152,0.0008101593867931759,2.0,10,6,,4.3336223541833885,2.1270485567809425e-05,0.0,0.0,1.0,1.0834055885458471,1.0834055885458471,1.0834055885458471,1.0834055885458471,,TAIUN
sku_channel,sku_channel::1009439|TAIUN_AIR,1009439,교체형,lumpy,426625.0,sba,{'alpha': 0.3},28.004427190161444,85.51660772362516,1.962937698923237,10,6,,12063.762261183518,0.03933806622720802,0.0,0.0,1.0,3015.9405652958794,3015.9405652958794,3015.9405652958794,3015.9405652958794,,TAIUN_AIR
sku_channel,sku_channel::1009217|TAIUN,1009217,교체형,lumpy,406521.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",58727.61155926037,35503.845869731354,1.9593670710862299,10,6,,36449.43400960001,0.16793600000000003,0.0,0.0,1.0,9112.358502400002,9112.358502400002,9112.358502400002,9112.358502400002,,TAIUN
sku_channel,sku_channel::2018356|TAIUN,2018356,교체형,lumpy,373214.0,sba,{'alpha': 0.3},0.49362467581327074,1.404219102782437,0.4762010571582569,10,6,,36342.880968704456,0.4765256665770294,0.0,0.0,1.0,9085.720242176114,9085.720242176114,9085.720242176114,9085.720242176114,,TAIUN
sku_channel,sku_channel::1009494|TAIUN_AIR,1009494,교체형,lumpy,342525.0,tsb,"{'alpha': 0.2, 'beta': 0.05}",0.5055252979460274,2.1315356375176853,0.8871534865882785,10,6,,25259.791942504344,0.20852540776641681,0.0,0.0,1.0,6314.947985626086,6314.947985626086,6314.947985626086,6314.947985626086,,TAIUN_AIR
