grain,series_id,item_code,label,sb_class,total_qty_hist,model,model_params,rmsse,mase,smape,n_trials,n_backtest_folds,acc_change_vs_prev,large_threshold,p_large_week,p_large_4w,expected_large_size,bulk_share,last_large_week,customer,channel
sku_customer,sku_customer::1009131|BANG TAI INTERNATIONAL LOGISTICS CO,1009131,교체형,intermittent,149143.0,sba,{'alpha': 0.05},0.02463292386377794,0.10626096275054742,2.0,10,6,,0.0,0.04320420310345636,0.16193628962077466,24857.166666666668,1.0,2026-04-06,BANG TAI INTERNATIONAL LOGISTICS CO,
sku_customer,sku_customer::1008053|TEC LOGISTICS COMPANY,1008053,교체형,intermittent,130156.0,tsb,"{'alpha': 0.2, 'beta': 0.05}",3.1557170433105646,21.430063390178763,1.766383391573279,10,6,,0.0,0.15991872903574147,0.5019359335329974,32539.0,1.0,2026-05-04,TEC LOGISTICS COMPANY,
sku_customer,sku_customer::1009439|GOLDKEY TECHNOLOGY CORPORATION,1009439,교체형,lumpy,120203.0,croston,{'alpha': 0.1},533.8316745034197,1900.5416666666667,1.999955559629256,10,6,,0.0,0.20000059863107064,0.5904012259950566,60101.5,1.0,2026-06-08,GOLDKEY TECHNOLOGY CORPORATION,
sku_customer,"sku_customer::1008622|HONGKONG SHICHUANGYI CO., LIMITED",1008622,교체형,lumpy,112820.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.023140798260497013,0.1866314614030664,2.0,10,6,,0.0,0.0006100380961069529,0.0024379204135112076,56410.0,1.0,2025-12-08,"HONGKONG SHICHUANGYI CO., LIMITED",
sku_customer,sku_customer::1009440|BANG TAI INTERNATIONAL LOGISTICS CO,1009440,교체형,intermittent,110041.0,sba,{'alpha': 0.05},0.014288050365380162,0.08188531757355758,2.0,10,6,,0.0,0.03612320895005386,0.1368503624340851,36680.333333333336,1.0,2026-04-06,BANG TAI INTERNATIONAL LOGISTICS CO,
sku_customer,"sku_customer::1009440|Hosin Global (HK) Electronics Co.,",1009440,교체형,lumpy,109558.0,croston,{'alpha': 0.1},20409.96503363809,16665.107262065347,1.52363474848216,10,6,,0.0,0.28192,0.7341165388321678,54779.0,1.0,2026-06-08,"Hosin Global (HK) Electronics Co.,",
sku_customer,"sku_customer::1009137|HONGKONG SHICHUANGYI CO., LIMITED",1009137,교체형,lumpy,107825.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.0024186639461453857,0.016472217365939,2.0,10,6,,0.0,0.00038765105277656933,0.0015497028040659666,35941.666666666664,1.0,2025-11-24,"HONGKONG SHICHUANGYI CO., LIMITED",
sku_customer,"sku_customer::2019670|Hosin Global (HK) Electronics Co.,",2019670,교체형,intermittent,104655.0,tsb,"{'alpha': 0.1, 'beta': 0.1}",0.3320011489062014,1.5703076635977256,0.38707631920424296,10,6,,0.0,0.2501017725728877,0.6837654562628193,20931.0,1.0,2026-06-01,"Hosin Global (HK) Electronics Co.,",
sku_customer,sku_customer::1008053|MF WAREHOUSING & LOGISTICS,1008053,교체형,lumpy,101970.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.07008941657264753,0.5562288544758017,2.0,10,6,,0.0,0.001844674407372781,0.0073583057843036315,50985.0,1.0,2026-01-12,MF WAREHOUSING & LOGISTICS,
sku_customer,"sku_customer::1009592|HONGKONG SHICHUANGYI CO., LIMITED",1009592,교체형,intermittent,101070.0,sba,{'alpha': 0.05},0.03829088929550591,0.23594876078697172,2.0,10,6,,0.0,0.028174985461759998,0.10802579741960394,50535.0,1.0,2026-03-23,"HONGKONG SHICHUANGYI CO., LIMITED",
sku_customer,sku_customer::1009131|LUCKY GRADE LIMITED,1009131,교체형,intermittent,100235.0,croston,{'alpha': 0.1},4.181926392487235,29.704386206226854,1.9580759136416848,10,6,,0.0,0.08192146150163733,0.28957319262223746,50117.5,1.0,2026-05-11,LUCKY GRADE LIMITED,
sku_customer,sku_customer::2018356|BaDa Group (HongKong) Corporation L,2018356,교체형,intermittent,100161.0,tsb,"{'alpha': 0.2, 'beta': 0.05}",0.1939248690619252,0.569879607967888,0.2944095642143713,10,6,,0.0,0.21595860357222207,0.6221182011952278,8346.75,1.0,2026-05-25,BaDa Group (HongKong) Corporation L,
sku_customer,"sku_customer::1009975|Hosin Global (HK) Electronics Co.,",1009975,교체형,intermittent,100089.0,tsb,"{'alpha': 0.1, 'beta': 0.1}",9.580231659345,73.24198034949009,1.8416127920944696,10,6,,0.0,0.29291511627776,0.7500309662525382,33363.0,1.0,2026-06-08,"Hosin Global (HK) Electronics Co.,",
sku_customer,"sku_customer::1008053|CY STORAGE TECHNOLOGY(HK) CO.,LIMIT",1008053,교체형,intermittent,99792.0,sba,{'alpha': 0.05},0.05893388124321726,0.36491276658599486,2.0,10,6,,0.0,0.011036654652628281,0.04342113469796083,49896.0,1.0,2026-03-09,"CY STORAGE TECHNOLOGY(HK) CO.,LIMIT",
sku_customer,sku_customer::1005729|MF WAREHOUSING & LOGISTICS,1005729,교체형,lumpy,99547.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",4.816686788332175e-05,0.0003876999683668501,2.0,10,6,,0.0,1.0889115313198018e-05,4.3555749821067025e-05,49773.5,1.0,2025-08-04,MF WAREHOUSING & LOGISTICS,
sku_customer,"sku_customer::2019670|PATRIOT?MEMORY?CO.,?LIMITED",2019670,교체형,intermittent,94181.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",1.409381783594503,9.144120903690341,0.602152016898624,10,6,,0.0,0.19760866918399997,0.5854805517987781,31393.666666666668,1.0,2026-05-25,"PATRIOT?MEMORY?CO.,?LIMITED",
sku_customer,sku_customer::2018610|EVERBOND ELECTRONICS LIMITED,2018610,교체형,intermittent,89332.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.26714862449190185,1.0967189295466506,0.4664667438704409,10,6,,0.0,0.16893008022082018,0.5229649894292548,14888.666666666666,1.0,2026-05-18,EVERBOND ELECTRONICS LIMITED,
sku_customer,sku_customer::2017389|EVERBOND ELECTRONICS LIMITED,2017389,교체형,intermittent,85985.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.0013153040850427669,0.00501552775497748,2.0,10,6,,0.0,6.491702887089798e-05,0.00025964283125401444,17197.0,1.0,2025-09-29,EVERBOND ELECTRONICS LIMITED,
sku_customer,"sku_customer::1008802|Hosin Global (HK) Electronics Co.,",1008802,교체형,intermittent,84488.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",7067.186202146102,5774.388554483662,1.4286031076432761,10,6,,0.0,0.28192,0.7341165388321678,42244.0,1.0,2026-06-08,"Hosin Global (HK) Electronics Co.,",
sku_customer,sku_customer::2018782|Wilk Elektronik S.A.,2018782,교체형,intermittent,81487.0,sba,{'alpha': 0.05},0.10912751918517805,0.210786081058718,1.883914495751996,10,6,,0.0,0.0,0.0,0.0,0.0,,Wilk Elektronik S.A.,
sku_customer,"sku_customer::2018610|Hotop Technologies, Inc.",2018610,교체형,intermittent,80044.0,sba,{'alpha': 0.05},0.03567430876682843,0.1719618974191595,2.0,10,6,,0.0,0.021129798736087623,0.08187792039183983,19248.0,0.7214032282244766,2026-03-16,"Hotop Technologies, Inc.",
sku_customer,sku_customer::2018332|Wilk Elektronik S.A.,2018332,교체형,lumpy,77281.0,sba,{'alpha': 0.05},0.12244830064702732,0.28664794151961465,1.8832356462069626,10,6,,0.0,0.0,0.0,0.0,0.0,,Wilk Elektronik S.A.,
sku_customer,sku_customer::2018272|PINE INFO CO LTD,2018272,교체형,lumpy,68680.0,sba,{'alpha': 0.3},0.0766169776341936,0.1202835393178208,0.6985108435195883,10,6,,0.0,0.0,0.0,0.0,0.0,,PINE INFO CO LTD,
sku_customer,sku_customer::1008981|Patriot Memory Inc.,1008981,교체형,intermittent,61670.0,croston,{'alpha': 0.1},6.6912553517736715,47.63287441278595,1.9728882128593004,10,6,,0.0,0.10240093536104791,0.3508731618798414,30835.0,1.0,2026-05-18,Patriot Memory Inc.,
sku_customer,sku_customer::2019206|PATRIOT MEMORY INC.,2019206,교체형,intermittent,60964.0,sba,{'alpha': 0.05},0.05387624519365803,0.17939711728886532,2.0,10,6,,0.0,0.02607971367623611,0.10030843592822158,6773.777777777777,1.0,2026-03-30,PATRIOT MEMORY INC.,
sku_customer,sku_customer::1008551|GoldKey Technology Corporation,1008551,교체형,intermittent,60391.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.005725691865418133,0.03918769536994641,2.0,10,6,,0.0,0.00048357042731050887,0.0019328791193514716,30195.5,1.0,2025-12-01,GoldKey Technology Corporation,
sku_customer,sku_customer::2019749|SF Supply Chain (Hong Kong) Limited,2019749,교체형,intermittent,58639.0,tsb,"{'alpha': 0.2, 'beta': 0.05}",0.5568343343308387,3.1647200029391915,1.399026557702572,10,6,,0.0,0.07067629497457051,0.2541215480366371,19546.333333333332,1.0,2026-04-27,SF Supply Chain (Hong Kong) Limited,
sku_customer,"sku_customer::1009303|Hosin Global Electronics Co., Ltd",1009303,교체형,lumpy,57293.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.0011533971652653034,0.008311108597545198,2.0,10,6,,0.0,0.00019888297264575145,0.000795294595427154,19097.666666666668,1.0,2025-11-03,"Hosin Global Electronics Co., Ltd",
sku_customer,sku_customer::1008434|GOLDKEY TECHNOLOGY CORPORATION,1008434,교체형,lumpy,54184.0,croston,{'alpha': 0.1},12.278201490664115,44.344164412717966,1.997999084215208,10,6,,0.0,0.20000024519928655,0.5904005021679082,27092.0,1.0,2026-06-08,GOLDKEY TECHNOLOGY CORPORATION,
